"";"Term";"Occurrences";"Stopword"
"mehmet";"mehmet";14;""
"mercer";"merc";14;""
"michèle";"michel";14;""
"moneyvox";"moneyvox";14;""
"morin";"morin";14;""
"mulliez";"mull";14;""
"musk";"musk";14;""
"nadine";"nadin";14;""
"nicole";"nicol";14;""
"œuf";"œuf";14;""
"pandémique";"pandem";14;""
"peugeot";"peugeot";14;""
"plafonnés";"plafon";14;""
"primark";"primark";14;""
"qatar";"qatar";14;""
"reagan";"reagan";14;""
"rémunérée";"rémuner";14;""
"resolution";"resolu";14;""
"ressourcerie";"ressourcer";14;""
"sephora";"sephor";14;""
"silva";"silv";14;""
"simpl";"simpl";14;""
"thaïlande";"thaïland";14;""
"tisséo";"tisséo";14;""
"too";"too";14;""
"trichet";"trichet";14;""
"tweet";"tweet";14;""
"unitaires";"unitair";14;""
"veolia";"veoli";14;""
"zemmour";"zemmour";14;""
"afer";"afer";13;""
"affrique";"affriqu";13;""
"alice";"alic";13;""
"allen";"allen";13;""
"anna";"anna";13;""
"arbitrent";"arbitrent";13;""
"barraud";"barraud";13;""
"basildon";"basildon";13;""
"bbc";"bbc";13;""
"bcr";"bcr";13;""
"bonduelle";"bonduel";13;""
"boursorama";"boursoram";13;""
"cae";"ca";13;""
"camizon";"camizon";13;""
"cashback";"cashback";13;""
"cdi";"cdi";13;""
"chevée";"chev";13;""
"chloé";"chlo";13;""
"cl";"cl";13;""
"cojo";"cojo";13;""
"colijn";"colijn";13;""
"dax";"dax";13;""
"déconfinement";"déconfin";13;""
"drouin";"drouin";13;""
"ème";"ème";13;""
"euler";"eul";13;""
"faure";"faur";13;""
"faurecia";"faureci";13;""
"festifs";"festif";13;""
"foods";"food";13;""
"fragilisées";"fragilis";13;""
"gaye";"gay";13;""
"general";"general";13;""
"george";"georg";13;""
"géraldine";"géraldin";13;""
"gregory";"gregory";13;""
"hermes";"herm";13;""
"hoibian";"hoibian";13;""
"iéseg";"iéseg";13;""
"incompressibles";"incompressibl";13;""
"inflations";"inflat";13;""
"jair";"jair";13;""
"jdd";"jdd";13;""
"jpmorgan";"jpmorgan";13;""
"labor";"labor";13;""
"lehman";"lehman";13;""
"lévy";"lévy";13;""
"liabeuf";"liabeuf";13;""
"lisa";"lis";13;""
"lisbonne";"lisbon";13;""
"lld";"lld";13;""
"macronie";"macron";13;""
"malakoff";"malakoff";13;""
"malpass";"malpass";13;""
"manon";"manon";13;""
"markets";"market";13;""
"montauban";"montauban";13;""
"msa";"msa";13;""
"myriam";"myriam";13;""
"naturalia";"naturali";13;""
"olonne";"olon";13;""
"oney";"oney";13;""
"plfss";"plfss";13;""
"politologue";"politologu";13;""
"poor";"poor";13;""
"préengagées";"préengag";13;""
"protectionnistes";"protection";13;""
"ratios";"ratios";13;""
"rémunérant";"rémuner";13;""
"ricardo";"ricardo";13;""
"rosstat";"rosstat";13;""
"swiss";"swiss";13;""
"ttc";"ttc";13;""
"tutt";"tutt";13;""
"valorisées";"valoris";13;""
"varsovie";"varsov";13;""
"virgile";"virgil";13;""
"vosges";"vosg";13;""
"xerfi";"xerf";13;""
"xi";"xi";13;""
"xvi";"xvi";13;""
"aah";"aah";12;""
"actée";"acté";12;""
"ademe";"adem";12;""
"american";"american";12;""
"andy";"andy";12;""
"angel";"angel";12;""
"angela";"angel";12;""
"annie";"anni";12;""
"atlanta";"atlant";12;""
"aussiles";"aussil";12;""
"aussiroyaume";"aussiroyaum";12;""
"autrice";"autric";12;""
"baissière";"baissi";12;""
"bastien";"bastien";12;""
"bdo";"bdo";12;""
"besnier";"besni";12;""
"beyrouth";"beyrouth";12;""
"blackrock";"blackrock";12;""
"bœuf";"bœuf";12;""
"carhaix";"carhaix";12;""
"center";"cent";12;""
"cergy";"cergy";12;""
"chicago";"chicago";12;""
"college";"colleg";12;""
"commerzbank";"commerzbank";12;""
"cook";"cook";12;""
"corinne";"corinn";12;""
"cse";"cse";12;""
"cuba";"cub";12;""
"décarbonée";"décarbon";12;""
"décarboner";"décarbon";12;""
"domofrance";"domofr";12;""
"dordogne";"dordogn";12;""
"dove";"dov";12;""
"eelv";"eelv";12;""
"elon";"elon";12;""
"emma";"emma";12;""
"energy";"energy";12;""
"epargne";"epargn";12;""
"erwan";"erwan";12;""
"estelle";"estel";12;""
"exonérés";"exoner";12;""
"fesneau";"fesneau";12;""
"first";"first";12;""
"fnaim";"fnaim";12;""
"girard";"girard";12;""
"glaneurs";"glaneur";12;""
"gobain";"gobain";12;""
"hafize";"hafiz";12;""
"harmonisées";"harmonis";12;""
"inabordables";"inabord";12;""
"iq";"iq";12;""
"isère";"iser";12;""
"jacentes";"jacent";12;""
"jefferson";"jefferson";12;""
"jorge";"jorg";12;""
"josée";"jos";12;""
"kuroda";"kurod";12;""
"lavazza";"lavazz";12;""
"lcl";"lcl";12;""
"lefebvre";"lefebvr";12;""
"lenzing";"lenzing";12;""
"life";"lif";12;""
"london";"london";12;""
"lsa";"lsa";12;""
"maurice";"mauric";12;""
"metz";"metz";12;""
"michaël";"michaël";12;""
"mirabaud";"mirabaud";12;""
"mnpouvoir";"mnpouvoir";12;""
"mohamed";"mohamed";12;""
"montaigne";"montaign";12;""
"name";"nam";12;""
"ondam";"ondam";12;""
"panetta";"panet";12;""
"paulo";"paulo";12;""
"pérenniser";"pérennis";12;""
"red";"red";12;""
"réinvestissements";"réinvest";12;""
"restrictifs";"restrict";12;""
"reynolds";"reynold";12;""
"rh";"rh";12;""
"rodez";"rod";12;""
"roubaix";"roubaix";12;""
"ruralité";"rural";12;""
"ryanair";"ryanair";12;""
"shirt";"shirt";12;""
"smi";"smi";12;""
"taïwan";"taïwan";12;""
"touati";"touat";12;""
"toul";"toul";12;""
"valeo";"valeo";12;""
"vietnam";"vietnam";12;""
"warren";"warren";12;""
"zeitung";"zeitung";12;""
"zélande";"zéland";12;""
"abstentions";"abstent";11;""
"afd";"afd";11;""
"annick";"annick";11;""
"ariel";"ariel";11;""
"athènes";"athen";11;""
"aulnay";"aulnay";11;""
"aussicrise";"aussicris";11;""
"aussietats";"aussietat";11;""
"aussiune";"aussiun";11;""
"aussizone";"aussizon";11;""
"autoentrepreneurs";"autoentrepreneur";11;""
"béatrice";"béatric";11;""
"béchu";"béchu";11;""
"bergé";"berg";11;""
"blois";"blois";11;""
"bonial";"bonial";11;""
"caire";"cair";11;""
"call";"call";11;""
"capitalisations";"capitalis";11;""
"carmignac";"carmignac";11;""
"carnot";"carnot";11;""
"cathy";"cathy";11;""
"cdiscount";"cdiscount";11;""
"chaar";"chaar";11;""
"champier";"champi";11;""
"chéron";"chéron";11;""
"ciblent";"ciblent";11;""
"clara";"clar";11;""
"clcv";"clcv";11;""
"clermont";"clermont";11;""
"cohen";"cohen";11;""
"coluche";"coluch";11;""
"commercialise";"commercialis";11;""
"contreparties";"contrepart";11;""
"credoc";"credoc";11;""
"croo";"croo";11;""
"cumulées";"cumul";11;""
"dacia";"daci";11;""
"dassault";"dassault";11;""
"défiscalisées";"défiscalis";11;""
"désendetter";"désendet";11;""
"désindustrialisation";"désindustrialis";11;""
"di";"di";11;""
"disney";"disney";11;""
"dorioz";"dorioz";11;""
"ebitda";"ebitd";11;""
"economist";"economist";11;""
"élodie";"élod";11;""
"etam";"etam";11;""
"etant";"etant";11;""
"eure";"eur";11;""
"exonérée";"exoner";11;""
"fdj";"fdj";11;""
"fillon";"fillon";11;""
"fleury";"fleury";11;""
"flow";"flow";11;""
"forvia";"forvi";11;""
"forward";"forward";11;""
"fumio";"fumio";11;""
"gazprom";"gazprom";11;""
"générées";"géner";11;""
"giscard";"giscard";11;""
"impactent";"impactent";11;""
"instagram";"instagram";11;""
"intercités";"interc";11;""
"it";"it";11;""
"kiliçdaroglu";"kiliçdaroglu";11;""
"kishida";"kishid";11;""
"macedo";"macedo";11;""
"massachusetts";"massachuset";11;""
"maurin";"maurin";11;""
"mcdonald";"mcdonald";11;""
"meuse";"meus";11;""
"michelle";"michel";11;""
"michigan";"michigan";11;""
"mkg";"mkg";11;""
"mnl";"mnl";11;""
"narendra";"narendr";11;""
"noz";"noz";11;""
"panzani";"panzan";11;""
"pellets";"pellet";11;""
"pelouzet";"pelouzet";11;""
"pénibilité";"pénibil";11;""
"pepa";"pep";11;""
"per";"per";11;""
"plassard";"plassard";11;""
"pp";"pp";11;""
"promotionnels";"promotionnel";11;""
"protourisme";"protour";11;""
"purina";"purin";11;""
"raffineurs";"raffineur";11;""
"recyclerie";"recycler";11;""
"renégocié";"renégoci";11;""
"resserrements";"resserr";11;""
"retailleau";"retailleau";11;""
"ronald";"ronald";11;""
"ronne";"ron";11;""
"rouen";"rouen";11;""
"sabrina";"sabrin";11;""
"sam";"sam";11;""
"samy";"samy";11;""
"scolarisés";"scolaris";11;""
"shame";"sham";11;""
"so";"so";11;""
"sonia";"soni";11;""
"spf";"spf";11;""
"stephen";"stephen";11;""
"streaming";"streaming";11;""
"taylor";"taylor";11;""
"timothy";"timothy";11;""
"vanessa";"vaness";11;""
"vijlder";"vijld";11;""
"walsh";"walsh";11;""
"willie";"will";11;""
"world";"world";11;""
"yolanda";"yoland";11;""
"yougov";"yougov";11;""
"youtube";"youtub";11;""
"zan";"zan";11;""
"zara";"zar";11;""
"afghanistan";"afghanistan";10;""
"aft";"aft";10;""
"albis";"albis";10;""
"alexander";"alexand";10;""
"aussipourquoi";"aussipourquoi";10;""
"aussitaux";"aussital";10;""
"axelle";"axel";10;""
"bihan";"bihan";10;""
"billancourt";"billancourt";10;""
"boomers";"boomer";10;""
"brieuc";"brieuc";10;""
"caen";"caen";10;""
"caffet";"caffet";10;""
"candriam";"candriam";10;""
"capeb";"capeb";10;""
"cartier";"carti";10;""
"cetelem";"cetelem";10;""
"chris";"chris";10;""
"citigroup";"citigroup";10;""
"cme";"cme";10;""
"cnr";"cnr";10;""
"culpa";"culp";10;""
"daco";"daco";10;""
"davina";"davin";10;""
"décote";"décot";10;""
"défiscalisés";"défiscalis";10;""
"del";"del";10;""
"délocalisations";"délocalis";10;""
"denormandie";"denormand";10;""
"déo";"déo";10;""
"dgfip";"dgfip";10;""
"dioclétien";"dioclétien";10;""
"dr";"dr";10;""
"duval";"duval";10;""
"dvd";"dvd";10;""
"elvira";"elvir";10;""
"equinix";"equinix";10;""
"équipementier";"équipementi";10;""
"esg";"esg";10;""
"essec";"essec";10;""
"eurosystème";"eurosystem";10;""
"ey";"ey";10;""
"federal";"federal";10;""
"festivaliers";"festivali";10;""
"fintech";"fintech";10;""
"focalisée";"focalis";10;""
"fractionnés";"fraction";10;""
"francisco";"francisco";10;""
"gafa";"gaf";10;""
"garcia";"garci";10;""
"glen";"glen";10;""
"grant";"grant";10;""
"grosso";"grosso";10;""
"guyot";"guyot";10;""
"habeck";"habeck";10;""
"haruhiko";"haruhiko";10;""
"havelaar";"havelaar";10;""
"hétérodoxe";"hétérodox";10;""
"hiault";"hiault";10;""
"ifi";"ifi";10;""
"ifw";"ifw";10;""
"indexant";"index";10;""
"indre";"indre";10;""
"injectées";"inject";10;""
"jamie";"jam";10;""
"jimmy";"jimmy";10;""
"jousseaume";"jousseaum";10;""
"kacimi";"kacim";10;""
"kenneth";"kenneth";10;""
"kenningham";"kenningham";10;""
"kevin";"kevin";10;""
"kiri";"kir";10;""
"legrand";"legrand";10;""
"légumineuses";"légumin";10;""
"libellés";"libel";10;""
"linkedin";"linkedin";10;""
"louise";"louis";10;""
"lucas";"luc";10;""
"manchester";"manchest";10;""
"manchin";"manchin";10;""
"marcilly";"marcilly";10;""
"mea";"me";10;""
"mecachrome";"mecachrom";10;""
"médiathèque";"médiathequ";10;""
"millau";"millau";10;""
"mireille";"mireil";10;""
"montchalin";"montchalin";10;""
"naouri";"naour";10;""
"nessim";"nessim";10;""
"nutri";"nutr";10;""
"paks";"pak";10;""
"pêle";"pêl";10;""
"perret";"perret";10;""
"pinel";"pinel";10;""
"plébiscitent";"plébiscitent";10;""
"polluantes";"pollu";10;""
"pontoise";"pontois";10;""
"précarisation";"précaris";10;""
"psoe";"pso";10;""
"purchase";"purchas";10;""
"quintile";"quintil";10;""
"rd";"rd";10;""
"rey";"rey";10;""
"rio";"rio";10;""
"robotisation";"robotis";10;""
"roissy";"roissy";10;""
"rollin";"rollin";10;""
"rse";"rse";10;""
"semestriels";"semestriel";10;""
"shopmium";"shopmium";10;""
"sicav";"sicav";10;""
"sine";"sin";10;""
"smcp";"smcp";10;""
"smith";"smith";10;""
"sony";"sony";10;""
"spd";"spd";10;""
"stanley";"stanley";10;""
"steven";"steven";10;""
"studies";"stud";10;""
"télécom";"télécom";10;""
"tiktok";"tiktok";10;""
"tourdjman";"tourdjman";10;""
"tuc";"tuc";10;""
"variants";"vari";10;""
"végétalisation";"végétalis";10;""
"vi";"vi";10;""
"vidal";"vidal";10;""
"wagner";"wagn";10;""
"whatsapp";"whatsapp";10;""
"acter";"acter";9;""
"aït";"aït";9;""
"alexia";"alexi";9;""
"amiens";"amien";9;""
"amsterdam";"amsterdam";9;""
"amundi";"amund";9;""
"analytics";"analytic";9;""
"angeles";"angel";9;""
"annabelle";"annabel";9;""
"antony";"antony";9;""
"appliqueront";"appliqu";9;""
"argedis";"arged";9;""
"asselin";"asselin";9;""
"aussiturquie";"aussiturqu";9;""
"azotés";"azot";9;""
"balboni";"balbon";9;""
"bâle";"bâl";9;""
"barilla";"barill";9;""
"basile";"basil";9;""
"benassy";"benassy";9;""
"berenberg";"berenberg";9;""
"boosté";"boost";9;""
"bourdil";"bourdil";9;""
"bradés";"brad";9;""
"brian";"brian";9;""
"budapest";"budapest";9;""
"calviño";"calviño";9;""
"carcassonne";"carcasson";9;""
"cdd";"cdd";9;""
"cepremap";"cepremap";9;""
"cholet";"cholet";9;""
"citi";"cit";9;""
"cnews";"cnew";9;""
"collaboratif";"collabor";9;""
"colombie";"colomb";9;""
"confédérale";"confédéral";9;""
"cougard";"cougard";9;""
"courson";"courson";9;""
"cp";"cp";9;""
"créteil";"créteil";9;""
"cryptomonnaie";"cryptomonnai";9;""
"csp";"csp";9;""
"debar";"debar";9;""
"deliveroo";"deliveroo";9;""
"discounteurs";"discounteur";9;""
"dsf";"dsf";9;""
"dublin";"dublin";9;""
"dumont";"dumont";9;""
"dupont";"dupont";9;""
"ecomiam";"ecomiam";9;""
"écoresponsable";"écorespons";9;""
"equity";"equity";9;""
"estaing";"estaing";9;""
"european";"european";9;""
"fabre";"fabr";9;""
"fitoussi";"fitouss";9;""
"fnab";"fnab";9;""
"ftse";"ftse";9;""
"gaston";"gaston";9;""
"grigny";"grigny";9;""
"guérin";"guérin";9;""
"hippolyte";"hippolyt";9;""
"iata";"iat";9;""
"igf";"igf";9;""
"indonésie";"indones";9;""
"jennifer";"jennif";9;""
"jérémy";"jérémy";9;""
"jinping";"jinping";9;""
"jp";"jp";9;""
"kammer";"kamm";9;""
"kazakhstan";"kazakhstan";9;""
"keynésienne";"keynésien";9;""
"labeyrie";"labeyr";9;""
"lafayette";"lafayet";9;""
"lasalle";"lasall";9;""
"lisieux";"lisieux";9;""
"loiret";"loiret";9;""
"lolivier";"lolivi";9;""
"lydia";"lydi";9;""
"macri";"macr";9;""
"macronistes";"macron";9;""
"maghreb";"maghreb";9;""
"martinique";"martin";9;""
"mathilde";"mathild";9;""
"mauricio";"mauricio";9;""
"médico";"médico";9;""
"mehdi";"mehd";9;""
"mnukraine";"mnukrain";9;""
"monétaristes";"monétar";9;""
"motors";"motor";9;""
"mugabe";"mugab";9;""
"mutualiser";"mutualis";9;""
"nadège";"nadeg";9;""
"nahel";"nahel";9;""
"network";"network";9;""
"nixon";"nixon";9;""
"no";"no";9;""
"nogent";"nogent";9;""
"nomura";"nomur";9;""
"nourat";"nourat";9;""
"pablo";"pablo";9;""
"pénalisant";"pénalis";9;""
"pénalisante";"pénalis";9;""
"pereira";"pereir";9;""
"perifem";"perifem";9;""
"périgueux";"périgu";9;""
"poilâne";"poilân";9;""
"pompidou";"pompidou";9;""
"ppv";"ppv";9;""
"préconisations";"préconis";9;""
"presqu";"presqu";9;""
"prévert";"prévert";9;""
"protectionniste";"protection";9;""
"pwc";"pwc";9;""
"ratings";"rating";9;""
"représentativité";"représentat";9;""
"republic";"republic";9;""
"rueff";"rueff";9;""
"sacha";"sach";9;""
"saisonnalité";"saisonnal";9;""
"schäuble";"schäubl";9;""
"seloger";"selog";9;""
"shop";"shop";9;""
"singapour";"singapour";9;""
"sodebo";"sodebo";9;""
"soutenables";"souten";9;""
"stoxx";"stoxx";9;""
"tax";"tax";9;""
"tendancielle";"tendanciel";9;""
"thérèse";"théres";9;""
"tpi";"tpi";9;""
"trésoreries";"trésorer";9;""
"tüik";"tüik";9;""
"turgot";"turgot";9;""
"uk";"uk";9;""
"ultralibéral";"ultralibéral";9;""
"unédic";"unédic";9;""
"valette";"valet";9;""
"vallois";"vallois";9;""
"ve";"ve";9;""
"ways";"way";9;""
"weber";"web";9;""
"xiii";"xii";9;""
"yvon";"yvon";9;""
"zouari";"zouar";9;""
"abad";"abad";8;""
"accise";"accis";8;""
"actées";"acté";8;""
"aesh";"aesh";8;""
"alfred";"alfred";8;""
"algérie";"alger";8;""
"alixio";"alixio";8;""
"allouées";"allou";8;""
"alvarez";"alvar";8;""
"ano";"ano";8;""
"applis";"applis";8;""
"ash";"ash";8;""
"assagissement";"assag";8;""
"atp";"atp";8;""
"aujour";"aujour";8;""
"aussiallemagne";"aussiallemagn";8;""
"auteuil";"auteuil";8;""
"bad";"bad";8;""
"bagneux";"bagneux";8;""
"bapif";"bapif";8;""
"beaugas";"beaug";8;""
"bellanger";"bellang";8;""
"bernier";"berni";8;""
"blesson";"blesson";8;""
"bnpl";"bnpl";8;""
"bozio";"bozio";8;""
"bqp";"bqp";8;""
"briand";"briand";8;""
"brice";"bric";8;""
"bullard";"bullard";8;""
"burns";"burn";8;""
"caba";"cab";8;""
"cagnottage";"cagnottag";8;""
"cdg";"cdg";8;""
"chapuis";"chapuis";8;""
"chartres";"chartr";8;""
"cherpas";"cherp";8;""
"chrysler";"chrysl";8;""
"cice";"cic";8;""
"clayes";"clay";8;""
"cnm";"cnm";8;""
"contributeurs";"contributeur";8;""
"coquerel";"coquerel";8;""
"cotentin";"cotentin";8;""
"couet";"couet";8;""
"cre";"cre";8;""
"cybersécurité";"cybersécur";8;""
"dales";"dal";8;""
"damoclès";"damocles";8;""
"danemark";"danemark";8;""
"daniela";"daniel";8;""
"dijon";"dijon";8;""
"dopées";"dop";8;""
"dpe";"dpe";8;""
"drôme";"drôm";8;""
"duty";"duty";8;""
"dws";"dw";8;""
"easyjet";"easyjet";8;""
"écono";"écono";8;""
"emrys";"emry";8;""
"envi";"envi";8;""
"estanguet";"estanguet";8;""
"fdsea";"fdse";8;""
"fisher";"fish";8;""
"flation";"flation";8;""
"floride";"florid";8;""
"foir";"foir";8;""
"fontenay";"fontenay";8;""
"forint";"forint";8;""
"formateurs";"formateur";8;""
"fortiori";"fortior";8;""
"fund";"fund";8;""
"gaillac";"gaillac";8;""
"gautier";"gauti";8;""
"godeluck";"godeluck";8;""
"guadeloupe";"guadeloup";8;""
"gucci";"gucc";8;""
"hamon";"hamon";8;""
"happyvore";"happyvor";8;""
"héloïse";"héloïs";8;""
"homeexchange";"homeexchang";8;""
"ia";"ia";8;""
"impactant";"impact";8;""
"indexations";"index";8;""
"influenceurs";"influenceur";8;""
"interprofession";"interprofess";8;""
"investors";"investor";8;""
"ipca";"ipca";8;""
"istat";"istat";8;""
"jeff";"jeff";8;""
"jessica";"jessic";8;""
"karim";"karim";8;""
"kazuo";"kazuo";8;""
"kemal";"kemal";8;""
"kenya";"keni";8;""
"kippour";"kippour";8;""
"kuhanathan";"kuhanathan";8;""
"lacroix";"lacroix";8;""
"lary";"lary";8;""
"lecornu";"lecornu";8;""
"lefèvre";"lefevr";8;""
"leïla";"leïl";8;""
"lons";"lon";8;""
"lustman";"lustman";8;""
"macroniste";"macron";8;""
"magali";"magal";8;""
"maillage";"maillag";8;""
"malika";"malik";8;""
"marcelo";"marcelo";8;""
"margaret";"margaret";8;""
"maur";"maur";8;""
"mcdo";"mcdo";8;""
"meaux";"meau";8;""
"meilleurtaux";"meilleurtal";8;""
"mélanie";"mélan";8;""
"meti";"met";8;""
"michon";"michon";8;""
"midterms";"midterm";8;""
"minelli";"minel";8;""
"moec";"moec";8;""
"mohammed";"mohammed";8;""
"mondialisée";"mondialis";8;""
"monétarisme";"monétar";8;""
"monétiser";"monétis";8;""
"monnet";"monnet";8;""
"moreira";"moreir";8;""
"moscovici";"moscovic";8;""
"mpc";"mpc";8;""
"mt";"mt";8;""
"multilatérales";"multilatéral";8;""
"mustafa";"mustaf";8;""
"mutricy";"mutricy";8;""
"mutualiste";"mutual";8;""
"nabioullina";"nabioullin";8;""
"nazaire";"nazair";8;""
"ndiaye";"ndiay";8;""
"nobile";"nobil";8;""
"ofgem";"ofgem";8;""
"oliveau";"oliveau";8;""
"one";"one";8;""
"otan";"otan";8;""
"ouigo";"ouigo";8;""
"oxfam";"oxfam";8;""
"pannier";"panni";8;""
"panquiault";"panquiault";8;""
"pantheon";"pantheon";8;""
"pcb";"pcb";8;""
"percevront";"percevront";8;""
"péremption";"pérempt";8;""
"perrin";"perrin";8;""
"personnalisés";"personnalis";8;""
"pimkie";"pimk";8;""
"plébiscitée";"plébiscit";8;""
"plui";"plui";8;""
"privat";"privat";8;""
"prudentiel";"prudentiel";8;""
"psa";"psa";8;""
"py";"py";8;""
"qubic";"qubic";8;""
"rachel";"rachel";8;""
"raingeard";"raingeard";8;""
"rationnements";"ration";8;""
"ray";"ray";8;""
"rcn";"rcn";8;""
"relocaliser";"relocalis";8;""
"répercutera";"répercut";8;""
"replay";"replay";8;""
"reuilly";"reuilly";8;""
"rib";"rib";8;""
"rième";"riem";8;""
"riksbank";"riksbank";8;""
"rodolphe";"rodolph";8;""
"rolling";"rolling";8;""
"runacher";"runach";8;""
"sabine";"sabin";8;""
"samsung";"samsung";8;""
"sánchez";"sánchez";8;""
"savary";"savary";8;""
"scrutées";"scrut";8;""
"shanghaï";"shanghaï";8;""
"sharif";"sharif";8;""
"sms";"sm";8;""
"socioprofessionnelles";"socioprofessionnel";8;""
"solveig";"solveig";8;""
"sondées";"sond";8;""
"starbucks";"starbuck";8;""
"stockholm";"stockholm";8;""
"stuffing";"stuffing";8;""
"superéthanol";"superéthanol";8;""
"surépargne";"surépargn";8;""
"syndex";"syndex";8;""
"target";"target";8;""
"task";"task";8;""
"tesco";"tesco";8;""
"thibaud";"thibaud";8;""
"thibault";"thibault";8;""
"ticpe";"ticp";8;""
"traders";"trader";8;""
"ueda";"ued";8;""
"university";"university";8;""
"urss";"urss";8;""
"ush";"ush";8;""
"vaucluse";"vauclus";8;""
"vingts";"vingt";8;""
"weekendesk";"weekendesk";8;""
"wolfgang";"wolfgang";8;""
"wright";"wright";8;""
"www";"www";8;""
"xxl";"xxl";8;""
"you";"you";8;""
"zeitoun";"zeitoun";8;""
"aaa";"aaa";7;""
"abdel";"abdel";7;""
"accor";"accor";7;""
"adsl";"adsl";7;""
"aéroportuaire";"aéroportuair";7;""
"aghion";"aghion";7;""
"agritel";"agritel";7;""
"amghar";"amghar";7;""
"amlo";"amlo";7;""
"angèle";"angel";7;""
"anjou";"anjou";7;""
"antilles";"antill";7;""
"antivols";"antivol";7;""
"aprr";"aprr";7;""
"arcelormittal";"arcelormittal";7;""
"argenteuil";"argenteuil";7;""
"arnault";"arnault";7;""
"audois";"audois";7;""
"aussiface";"aussifac";7;""
"aussifrance";"aussifr";7;""
"autoconsommation";"autoconsomm";7;""
"automaticité";"automat";7;""
"bell";"bel";7;""
"bellile";"bellil";7;""
"bénéficieraient";"bénéfici";7;""
"bernanke";"bernank";7;""
"bluebay";"bluebay";7;""
"boata";"boat";7;""
"boostent";"boostent";7;""
"bouny";"bouny";7;""
"bp";"bp";7;""
"broadbent";"broadbent";7;""
"brochard";"brochard";7;""
"brodart";"brodart";7;""
"bulgnéville";"bulgnévill";7;""
"cabau";"cabau";7;""
"cadastrales";"cadastral";7;""
"camburet";"camburet";7;""
"capgemini";"capgemin";7;""
"cau";"cau";7;""
"ccep";"ccep";7;""
"chain";"chain";7;""
"chartered";"chartered";7;""
"chélini";"chélin";7;""
"chevallier";"chevalli";7;""
"cimalpes";"cimalp";7;""
"claudia";"claudi";7;""
"cnuced";"cnuced";7;""
"colgate";"colgat";7;""
"commercialisés";"commercialis";7;""
"company";"company";7;""
"connait";"con";7;""
"consulting";"consulting";7;""
"corbeil";"corbeil";7;""
"corrélé";"correl";7;""
"corum";"corum";7;""
"costa";"cost";7;""
"coty";"coty";7;""
"coûtants";"coût";7;""
"crt";"crt";7;""
"danièle";"daniel";7;""
"darren";"darren";7;""
"das";"das";7;""
"deauville";"deauvill";7;""
"delahaye";"delahay";7;""
"delatte";"delatt";7;""
"delors";"delor";7;""
"déloyales";"déloyal";7;""
"déréférencement";"déréférenc";7;""
"détaillent";"détaillent";7;""
"dimon";"dimon";7;""
"disneyland";"disneyland";7;""
"diw";"diw";7;""
"drees";"dre";7;""
"ecologie";"ecolog";7;""
"edmond";"edmond";7;""
"egalement";"egal";7;""
"électoraliste";"électoral";7;""
"elsa";"elsa";7;""
"emilie";"emil";7;""
"endettent";"endettent";7;""
"enrique";"enriqu";7;""
"eurosceptique";"euroscept";7;""
"evergrande";"evergrand";7;""
"exportatrices";"export";7;""
"exportent";"exportent";7;""
"extremis";"extrem";7;""
"faivre";"faivr";7;""
"fanta";"fant";7;""
"fargo";"fargo";7;""
"feef";"feef";7;""
"ferracci";"ferracc";7;""
"financiarisation";"financiaris";7;""
"fiscalisés";"fiscalis";7;""
"floa";"flo";7;""
"fnhpa";"fnhpa";7;""
"fnmf";"fnmf";7;""
"friperies";"friper";7;""
"gafam";"gafam";7;""
"gambetta";"gambet";7;""
"gault";"gault";7;""
"gelencser";"gelencs";7;""
"généralisés";"généralis";7;""
"geneviève";"geneviev";7;""
"gennevilliers";"gennevilli";7;""
"ghana";"ghan";7;""
"gifi";"gif";7;""
"gmf";"gmf";7;""
"goetz";"goetz";7;""
"gonzales";"gonzal";7;""
"goodhart";"goodhart";7;""
"gosselin";"gosselin";7;""
"grady";"grady";7;""
"great";"great";7;""
"gremillet";"gremillet";7;""
"hambourg";"hambourg";7;""
"hamilton";"hamilton";7;""
"handelsblatt";"handelsblatt";7;""
"hautefort";"hautefort";7;""
"hénaff";"hénaff";7;""
"hoc";"hoc";7;""
"holzmann";"holzmann";7;""
"hong";"hong";7;""
"hve";"hve";7;""
"ice";"ice";7;""
"iliad";"iliad";7;""
"indec";"indec";7;""
"interbancaires";"interbancair";7;""
"intercommunale";"intercommunal";7;""
"intermédiation";"intermédi";7;""
"irving";"irving";7;""
"isaac";"isaac";7;""
"islamabad";"islamabad";7;""
"ivry";"ivry";7;""
"joubert";"joubert";7;""
"jouvhomme";"jouvhomm";7;""
"justin";"justin";7;""
"katia";"kati";7;""
"kong";"kong";7;""
"kozul";"kozul";7;""
"krakovitch";"krakovitch";7;""
"lacombe";"lacomb";7;""
"landeroin";"landeroin";7;""
"last";"last";7;""
"later";"lat";7;""
"lawrence";"lawrenc";7;""
"leduc";"leduc";7;""
"lemoine";"lemoin";7;""
"lescure";"lescur";7;""
"lotois";"lotois";7;""
"lunéville";"lunévill";7;""
"lydie";"lyd";7;""
"maël";"maël";7;""
"maje";"maj";7;""
"majorations";"major";7;""
"majoré";"major";7;""
"maprimerénov";"maprimerénov";7;""
"marionnaud";"marionnaud";7;""
"marjorie";"marjor";7;""
"marty";"marty";7;""
"mathias";"mathi";7;""
"maud";"maud";7;""
"maxence";"maxenc";7;""
"mayotte";"mayott";7;""
"mazier";"mazi";7;""
"mnguerre";"mnguerr";7;""
